"","x"
"1",0.0100000007078052
"2",0.0100000007078052
"3",0.0100000007078052
"4",0.0100000007078052
"5",0.0100000007078052
"6",0.0100000007078052
"7",0.0100000007078052
"8",0.0100000007078052
"9",0.0100000007078052
"10",0.0100000007078052
"11",0.0134211039015402
"12",0.0100000007078052
"13",0.0100000007078052
"14",0.0100000007078052
"15",0.0100000007078052
"16",0.0100000007078052
"17",0.0100000007078052
"18",0.0100000007078052
"19",0.0100000007078052
"20",0.0100000007078052
"21",0.0100000007078052
"22",0.0100000007078052
"23",0.0100000007078052
"24",0.0100000007078052
"25",0.0100000007078052
"26",0.0100000007078052
"27",0.0100000007078052
"28",0.0100000007078052
"29",0.0100000007078052
"30",0.0100000007078052
"31",0.0100000007078052
"32",0.0100000007078052
"33",0.0100000007078052
"34",0.0101762244012207
"35",0.0100000007078052
"36",0.0100000007078052
"37",0.0100000007078052
"38",0.0100000007078052
"39",0.0100000007078052
"40",0.0100000007078052
"41",0.0100000007078052
"42",0.0100000007078052
"43",0.0100000007078052
"44",0.0100000007078052
"45",0.0100000007078052
"46",0.0100000007078052
"47",0.0100000007078052
"48",0.0100000007078052
"49",0.0100000007078052
"50",0.0100000007078052
"51",0.0100000007078052
"52",0.0100000007078052
"53",0.0100000007078052
"54",0.0100000007078052
"55",0.0100000007078052
"56",0.0100000007078052
"57",0.0100000007078052
"58",0.0100000007078052
"59",0.0100000007078052
"60",0.0100000007078052
"61",0.0100000007078052
"62",0.0100000007078052
"63",0.0100000007078052
"64",0.0100000007078052
"65",0.0100000007078052
"66",0.0100000007078052
"67",0.0100000007078052
"68",0.0100000007078052
"69",0.0100000007078052
"70",0.0100000007078052
"71",0.0100000007078052
"72",0.0100000007078052
"73",0.0100000007078052
"74",0.0100000007078052
"75",0.0100000007078052
"76",0.0100000007078052
"77",0.0100000007078052
"78",0.0100000007078052
"79",0.0100000007078052
"80",0.0100000007078052
"81",0.0100000007078052
"82",0.0100000007078052
"83",0.0100000007078052
"84",0.0100000007078052
"85",0.0100000007078052
"86",0.0100000007078052
"87",0.0100000007078052
"88",0.0100000007078052
"89",0.0100000007078052
"90",0.0100000007078052
"91",0.0100460876322662
"92",0.221813534541676
"93",0.202467509855827
"94",0.163664242252707
"95",0.129332340011994
"96",0.0805493545097609
"97",0.0297475858436277
"98",0.0100000007078052
"99",0.0100000007078052
"100",0.0100000007078052
"101",0.0100000007078052
"102",0.0100000007078052
"103",0.0100000007078052
"104",0.0100000007078052
"105",0.0100000007078052
"106",0.0100000007078052
"107",0.0100000007078052
"108",0.0100000007078052
"109",0.0100000007078052
"110",0.0100000007078052
"111",0.0100000007078052
"112",0.0100000007078052
"113",0.0100000007078052
"114",0.0100000007078052
"115",0.0100000007078052
"116",0.0100000007078052
"117",0.0100000007078052
"118",0.0100000007078052
"119",0.0100000007078052
"120",0.0100000007078052
"121",0.0100000007078052
"122",0.0100000007078052
"123",0.0100000007078052
"124",0.0186940523562953
"125",0.0235475695226341
"126",0.410942097504934
"127",0.338447170952956
"128",0.299878357599179
"129",0.339683407296737
"130",0.367936464647452
"131",0.298986418793599
"132",0.245582139119506
"133",0.195865081623197
"134",0.155449806402127
"135",0.128261715484162
"136",0.0809445902705193
"137",0.0581469557558497
"138",0.0227315155401205
"139",0.0171131377574056
"140",0.191686410456896
