C4 Grass,Acquisitive Shrub,Conservative Shrub,Acquisitve Tree,Conservative Tree
0.023716806,0.010000001,0.010000001,0.010000001,0.14669662
0.010032491,0.010000001,0.010000001,0.010000001,0.130360624
0.010000001,0.010000001,0.010000001,0.010000001,0.113609534
0.010000001,0.010000001,0.010000001,0.010000001,0.095172832
0.010000001,0.010000001,0.010000001,0.010000001,0.078212471
0.010000001,0.010000001,0.010000001,0.010000001,0.067429648
0.010000001,0.010000001,0.010000001,0.010000001,0.050957566
0.010000001,0.010000001,0.010000001,0.010000001,0.035244025
0.010000001,0.010000001,0.010000001,0.010000001,0.019210246
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.0136446,0.013619009,0.013346397,0.011466831,0.013304522
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010086773,0.010198169,0.010184514,0.010013264,0.010030427
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010000001,0.010000001,0.010000001,0.010000001,0.010000001
0.010050483,0.010089793,0.010052264,0.010032236,0.010037077
0.224409987,0.227665016,0.222367086,0.221620041,0.223717384
